time,lat,lon,depth,station,cast,temp,sal,avg_fix_rate_15N2,stdev_15N2_fix_rate,avg_fix_rate_13C,stdev_13C_fix_rate,below_detection_limit_Nfix,below_detection_limit_Cfix,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2021-11-20T13:00:00,28.62,-124.08,5,,,19.77,33.52,0.14,0.08,2.25,1.81,,,19.314798672993977,23.95915953318278,33.67637952168783,0.0676946180562178,0.3419603854417801,1.9717705051104228,5.264808893203735,0.0250140916216757,0.3036930118998445,238.88417332966267,10.6982529093799,0.0008894381739537,0.0423139758136454,0.5482644631527435
2021-11-21T13:49:00,27.0673,-126.6739,5,2.0,1.0,20.3008,33.831,0.3,0.09,2.74,1.49,,,20.222696940104168,24.01123555501302,34.054091135660805,0.0477325574805339,0.2819641853372256,1.7062912782033284,5.19918163617452,1.2909446129e-06,0.2863261887337883,233.27610816953532,10.272366561492328,0.000192975456063,0.0322333218316399,0.45698940254125
2021-11-23T14:35:10,21.74,-135.31,5,3.0,1.0,23.51,34.6,0.32,0.14,2.92,0.49,,,23.49339993794759,23.81951904296875,34.868499755859375,0.0102551699383184,0.1594086537758509,1.5108367999394734,4.942521413167317,4.9795114414e-06,0.3666872449840078,221.86383099560828,9.813603079318126,0.0003103738633247,0.0353451049964272,0.4836401280636727
2021-11-24T12:43:00,19.637,-138.617,5,4.0,1.0,23.6366,35.056,1.97,0.53,3.15,0.01,,,24.6797669728597,23.39991569519043,34.72046661376953,0.0129190476145595,0.1750867615143458,1.5920039415359497,4.897626558939616,0.0404765185995528,0.3853115830570903,218.2384537061336,10.256351141134903,0.001830198452899,0.0535145013631922,0.6096811439532368
2021-11-24T12:43:00,19.637,-138.617,25,4.0,1.0,23.6484,35.0551,1.54,0.39,2.52,0.48,,,24.588972727457683,23.485179265340168,34.77097956339518,0.0028678005716452,0.1749288489421208,0.8770923217137655,4.909650802612305,0.0404241835974005,0.3850855089724501,218.3392598046196,10.24832505914961,0.0015234387892834,0.0553023309550333,0.6017826221056249
2021-11-24T12:43:00,19.637,-138.617,45,4.0,1.0,23.6518,35.0566,0.99,0.25,1.96,0.18,,,24.470439275105797,23.63469886779785,34.81579844156901,0.0093099846659849,0.1762395898501078,1.60256826877594,4.890888055165608,0.0369690297542227,0.3836234088987291,218.7586002986002,10.202616461119955,0.0012146800769185,0.0594139289110875,0.5877304080874126
2021-11-24T12:43:00,19.637,-138.617,75,4.0,1.0,21.3452,34.8401,,,1.72,1.02,1.0,,23.39452997843425,24.135299682617188,34.84477106730143,0.101116694509983,0.2083818713823954,0.9431956013043722,4.986323992411296,0.094970717570595,0.3623240369061667,230.95182634988325,9.57185501257425,0.0013492010925499,0.1036326207531224,0.6581733711064082
2021-11-24T12:43:00,19.637,-138.617,100,4.0,1.0,19.8769,34.8234,,,0.51,0.97,1.0,,21.53335475921631,24.76090717315674,34.82711219787598,0.290935754776001,0.1974190175533294,2.1451445817947388,5.283382177352905,,,,,,,
2021-11-24T12:43:00,19.637,-138.617,125,4.0,1.0,19.2096,34.8549,,,0.51,0.4,1.0,,20.09069061279297,25.221967697143555,34.77958679199219,1.441792130470276,0.3405756950378418,2.392303705215454,4.966220855712891,,,,,,,
2021-11-26T14:32:00,17.4,-140.09,5,5.0,1.0,25.1788,34.5163,0.24,0.2,3.53,0.67,,,25.409081776936848,22.923086802164715,34.49578285217285,0.0656828676971296,0.178387776017189,1.4072722395261128,4.885942459106445,0.4923395234383552,0.4224675867396607,216.032642046638,10.548213710385747,0.0045937575599053,0.084708626812794,0.8385028927896976
2021-11-28T12:00:00,10.696,-140.002,5,7.0,1.0,26.79,33.75,0.68,0.1,3.53,0.68,,,27.05558172861735,21.949769655863445,33.85781478881836,0.0804209584991137,0.1761034602920214,1.4565313061078389,4.670633713404338,2.982089618345262,0.5788089628642024,213.42573854126564,11.256709463397998,0.0103667966230824,0.1284090230474198,1.2651555656145306
2021-11-28T12:00:00,10.696,-140.002,15,7.0,1.0,26.5818,33.7496,0.85,0.0,6.48,,,,27.048600514729817,22.00213114420573,33.91589482625326,0.0771297924220562,0.1558979277809461,1.4237728118896484,4.784934520721436,3.1747265336416235,0.5943564768880374,212.8847414652396,11.36607637405565,0.0091052758885763,0.1391819222364541,1.2548703124124372
2021-11-28T12:00:00,10.696,-140.002,25,7.0,1.0,26.5669,33.7264,1.19,0.2,5.96,0.73,,,26.79568386077881,22.28689670562744,34.10500144958496,0.0918743746976057,0.1640634536743164,1.5227645834287007,4.818735281626384,4.683394484883863,0.7104445608125916,206.9976351420112,12.215538475250115,0.0089884494004459,0.1870299185522806,1.3435564610694444
2021-11-28T12:00:00,10.696,-140.002,45,7.0,1.0,17.9454,34.5533,,,5.74,0.83,1.0,,23.430754979451496,23.689965565999348,34.441429138183594,0.2222043648362159,0.2292875126004219,1.365374465783437,4.9352781772613525,9.261993034678584,1.030469407141133,181.88895975749995,15.104306741555416,0.0078251417842694,0.3138096267357249,1.5405741110444164
2021-11-28T12:00:00,10.696,-140.002,75,7.0,1.0,12.9099,34.6518,,,0.23,0.11,1.0,,16.623403072357178,25.362250010172527,34.540866216023765,2.817064861456553,0.5788444876670837,6.174578110376994,4.238518397013347,16.268212421732503,1.4669894466800002,134.31650962830247,20.995361105597503,0.0014975603940304,0.3604265592371499,1.003405612707417
2021-11-28T12:00:00,10.696,-140.002,100,7.0,1.0,12.2417,34.7408,,,,,1.0,1.0,13.794320106506348,26.098510265350345,34.60179710388184,7.794468998908997,1.1654802709817886,9.897933721542358,3.1148083806037903,,,,,,,
2021-11-30T14:05:00,8.23,-139.6,5,8.0,1.0,27.9265,34.1177,0.12,0.06,5.45,0.48,,,27.63459364573161,22.07973512013753,34.21956888834635,0.2562099446853002,0.2197312812010447,1.9189037283261616,4.578868707021077,3.564504299171325,0.5857430024072255,210.79696698188624,11.270078973971373,0.0121072694596179,0.1632965808501593,1.3410163874428966
2021-12-01T14:03:00,4.753,-140.0,5,9.0,1.0,25.471,34.581,0.06,0.02,13.52,0.3,,,27.183103879292805,22.553112983703613,34.656323750813804,1.8659865061442056,0.4052903205156326,1.7870949904123945,4.682093103726705,9.166305818942371,0.9832571636545128,212.90155622694775,15.641005033193697,0.0177863528081816,0.2242001132155343,1.758235881123802
2021-12-02T12:51:00,4.775,-139.91,5,9.0,7.0,25.553,34.5719,,,10.8,0.44,1.0,,27.183103879292805,22.553112983703613,34.656323750813804,1.8659865061442056,0.4052903205156326,1.7870949904123945,4.682093103726705,9.109716433016771,0.9799906236652958,213.00285372590503,15.60914706190398,0.017742582087961,0.2237560898771097,1.7541956943317347
2021-12-03T14:00:00,1.125,-140.005,5,10.0,1.0,25.9822,34.7713,0.08,0.01,15.79,1.05,,,26.049917380015057,23.16396125157674,35.001189867655434,5.26580826441447,0.7392265299956003,2.916639884312948,4.716342409451802,11.712969102637707,1.1426876764184692,211.2282268061789,17.925672270130082,0.019131718684961,0.2219119543125066,1.88596133684572
2021-12-04T11:30:00,0.071,-139.904,5,11.0,2.0,24.4069,34.7721,,,22.81,1.49,1.0,,25.90309476852417,23.2540561358134,35.08815860748291,5.661176443099976,0.7708789060513178,2.7918055256207785,4.700120806694031,12.907777168536777,1.208833669849073,208.4026933149437,19.01420614665848,0.0217657646571753,0.2448247336133437,2.017620977578657
2021-12-04T11:30:00,0.071,-139.904,25,11.0,2.0,24.3177,34.7493,0.29,0.37,21.64,0.1,,,25.825815041859943,23.375455061594646,35.09373792012533,6.1601918538411455,0.8085586527983347,2.4775942166646323,4.669422745704651,13.164734214243031,1.22460796255101,203.53167004048987,19.29454645243536,0.0149389485090108,0.2974847080280001,1.8350021264166168
2021-12-04T11:30:00,0.071,-139.904,45,11.0,2.0,23.8756,34.6828,0.09,0.04,14.54,3.1,,,25.717884063720703,23.510576089223225,35.111215909322105,5.617890954017639,0.8175721168518066,2.617426186800003,4.566102981567383,13.877055489656437,1.2660670804260226,194.49558315847725,20.080441680822343,0.0091119551569027,0.3548090673531248,1.5357066727043942
2021-12-04T11:30:00,0.071,-139.904,75,11.0,2.0,21.678,34.9035,,,4.12,0.25,1.0,,25.408340136210125,23.849558512369796,35.16148281097412,7.039247552553813,0.8592485884825388,3.8824463884035754,4.392511447270711,16.366022731311364,1.4005384562600005,169.6954664750909,23.005296367586368,0.0016054155011342,0.2679178097256893,0.812580227851856
